iter	Logloss
0	0.655526397
1	0.6245653989
2	0.5989283356
3	0.575585813
4	0.5537669463
5	0.5366224057
6	0.5221980983
7	0.5098859229
8	0.4974717472
9	0.4858959425
10	0.477872981
11	0.468843544
12	0.460399369
13	0.4541755765
14	0.4486403113
15	0.4433231421
16	0.4394550385
17	0.4365264825
18	0.4313560838
19	0.4279277341
20	0.4253051328
21	0.4212887164
22	0.4204132067
23	0.4177456877
24	0.4163703769
25	0.4145944594
26	0.411439836
27	0.4091931628
28	0.4072848045
29	0.4057493143
30	0.4053493093
31	0.4045016488
32	0.4036118239
33	0.4016206041
34	0.3982821586
35	0.3978156757
36	0.3956791042
37	0.393331767
38	0.3926055887
39	0.3913905355
40	0.3907552836
41	0.3894703287
42	0.3874753146
43	0.385756252
44	0.3850203625
45	0.3843005664
46	0.3827814692
47	0.3815415511
48	0.3805439077
49	0.3793281689
50	0.3790179436
51	0.3783411045
52	0.3783316067
53	0.3779113901
54	0.377820552
55	0.3768352154
56	0.3764738312
57	0.3761342559
58	0.3752618384
59	0.3740231611
60	0.3729039867
61	0.3720462389
62	0.3705496232
63	0.3699467202
64	0.3694254701
65	0.3683827491
66	0.3677618988
67	0.3672500241
68	0.3672374954
69	0.3663923435
70	0.366179277
71	0.3657322028
72	0.3650189059
73	0.3638242636
74	0.363167534
75	0.3623848256
76	0.3619697239
77	0.3613782789
78	0.3609723758
79	0.3598326549
80	0.3591142822
81	0.3585343984
82	0.3576760251
83	0.3571751608
84	0.3564347176
85	0.3555146478
86	0.3554854958
87	0.3549960026
88	0.3544686117
89	0.3539600894
90	0.3534896789
91	0.3534675712
92	0.3529029461
93	0.3528780003
94	0.3521749839
95	0.3517880177
96	0.3506973455
97	0.3504914254
98	0.349971006
99	0.3495013583
