iter	Passed	Remaining
0	27	2744
1	50	2493
2	76	2466
3	101	2428
4	129	2458
5	158	2475
6	173	2302
7	201	2319
8	226	2289
9	250	2252
10	303	2456
11	393	2883
12	438	2934
13	552	3394
14	595	3375
15	645	3387
16	715	3491
17	749	3412
18	786	3351
19	813	3252
20	851	3203
21	894	3170
22	909	3045
23	963	3049
24	999	2997
25	1086	3091
26	1147	3103
27	1209	3110
28	1275	3121
29	1364	3184
30	1418	3157
31	1476	3137
32	1600	3249
33	1824	3542
34	2045	3797
35	2085	3706
36	2134	3633
37	2175	3548
38	2198	3438
39	2230	3345
40	2275	3273
41	2323	3208
42	2476	3282
43	2868	3650
44	2920	3569
45	2967	3483
46	3015	3400
47	3071	3327
48	3117	3244
49	3154	3154
50	3376	3243
51	3464	3197
52	3523	3124
53	3561	3034
54	3577	2927
55	3622	2846
56	3655	2757
57	3770	2730
58	3839	2668
59	3889	2593
60	4028	2575
61	4074	2497
62	4110	2414
63	4158	2339
64	4206	2264
65	4262	2195
66	4477	2205
67	5402	2542
68	5639	2533
69	5692	2439
70	5739	2344
71	5796	2254
72	5835	2158
73	5873	2063
74	5923	1974
75	5959	1881
76	6005	1793
77	6044	1704
78	6090	1619
79	6133	1533
80	6181	1450
81	6225	1366
82	6268	1283
83	6321	1204
84	6367	1123
85	6405	1042
86	6442	962
87	6490	885
88	6535	807
89	6574	730
90	6614	654
91	6662	579
92	6704	504
93	6744	430
94	6788	357
95	6833	284
96	6877	212
97	6917	141
98	6965	70
99	7009	0
